Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density
69642,County Line Grocery,35.0217,-89.9548,"4625 Tchulahoma Road, Memphis, TN, 38118",4625 Tchulahoma Road,Memphis,TN,38118,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
54627,Bethpage Store,36.4873,-86.3091,"3502 Highway 31e, Bethpage, TN, 37022",3502 Highway 31e,Bethpage,TN,37022,Sumner,Hunt Brothers Pizza,Food Chains,200557.0,0.0007080281416255728
14167,Pride Mart,35.1984,-89.9091,"4635 Raleigh Lagrange Rd, Memphis, TN, 38128",4635 Raleigh Lagrange Rd,Memphis,TN,38128,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
76992,Scooties Llc,35.1166,-89.9434,"3566 Walker Ave, Memphis, TN, 38111",3566 Walker Ave,Memphis,TN,38111,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
70877,Arlington Travel Center,35.2605,-89.6643,"4935 Airline Rd, Arlington, TN, 38002",4935 Airline Rd,Arlington,TN,38002,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
62946,Providence Market,36.1698,-86.506,"65 Belinda Pkwy, Mount Juliet, TN, 37122",65 Belinda Pkwy,Mount Juliet,TN,37122,Wilson,Hunt Brothers Pizza,Food Chains,151917.0,0.0008754780570969674
69640,Fast Check,35.0355,-90.0344,"886 E Raines Road, Memphis, TN, 38116",886 E Raines Road,Memphis,TN,38116,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
69555,Stop N Go,35.183,-89.8705,"2100 Sycamore View Rd, Memphis, TN, 38134",2100 Sycamore View Rd,Memphis,TN,38134,Shelby,Hunt Brothers Pizza,Food Chains,924454.0,0.0007680209074761967
54722,Palmyra Market,36.4361,-87.4799,"2460 Hihjway 149, Palmyra, TN, 37142",2460 Hihjway 149,Palmyra,TN,37142,Montgomery,Hunt Brothers Pizza,Food Chains,227900.0,0.0007591048705572619
64425,Kwik Sak 601,36.0707,-86.6841,"1804 Antioch Pike, Antioch, TN, 37013",1804 Antioch Pike,Antioch,TN,37013,Davidson,Hunt Brothers Pizza,Food Chains,703953.0,0.000869376222560313
