FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47053,Tennessee,Gibson,-0.089025065,44,-0.095634542,34,0.0363337642,54,-0.125358829,33,0.0605323843,64,-0.074893464,22,-0.07541129,35,-0.005862172,43,10452.162955,24.032686927,5.0323915751,5.2535417034,4.8640194101,26.155942198,22.972594251,40.9,35.2,7.3,32.3,27.1,53.092607129,14.543226942,13.791383496,85.307319409,83.630924105,6767,57.23105548,942,4.2314257479,18.1,11.070212766
47055,Tennessee,Giles,-0.095905767,42,0.0229171701,47,-0.104257046,37,0.008351279,49,0.0026551044,45,0.0059110199,47,-0.020098661,44,0.0344497071,76,9964.4467561,23.23945117,5.0722379829,5.4097225542,5.0047427227,25.457870645,22.279575507,32.9,23.5,7.8,40.2,30.0,43.65609632,16.089206657,15.14250073,85.781121883,84.041706122,2916,46.073629325,583,3.8542906254,20.1,12.474468085
47057,Tennessee,Grainger,0.4980983927,72,0.0962529939,53,0.2665095633,74,0.2315888293,68,-0.028454111,34,0.0780729681,74,0.0708517974,56,-0.02421766,25,11250.653734,25.466268583,5.463590851,5.8338272051,5.3663246067,28.198690161,24.708039081,29.0,19.3,7.9,37.8,28.2,22.514013329,15.816871548,14.759211651,78.640134664,75.897206836,2042,40.117878193,387,4.0278934221,25.0,17.017021277
47059,Tennessee,Greene,0.2028024711,59,0.0549671257,49,0.1708715398,66,0.0319309313,53,-0.002673432,42,-0.06612216,26,0.1109352519,64,0.012827465,60,10918.880888,24.514759668,5.388990627,5.8625468601,5.3941484437,27.297977486,23.373931225,37.6,31.8,7.5,32.4,27.2,44.603449027,14.418105166,13.504705339,84.731182796,83.291060419,7764,49.881143591,1396,4.6541090182,24.3,16.912765957
47061,Tennessee,Grundy,1.524118908,92,0.5927022768,87,0.758920138,90,0.76519877,92,0.0658589436,67,0.131674459,82,0.3498061518,88,0.0453627224,81,12958.849402,28.025147515,6.0189016254,6.2588894309,5.7315126509,30.618481801,26.309411239,33.3,24.7,7.3,21.8,15.1,35.700211632,15.0747931,14.093429457,74.362244898,70.57974477,1238,40.497219496,208,4.1459039266,28.5,17.657446809
47063,Tennessee,Hamblen,-0.084821695,46,0.0555740512,50,-0.085515005,41,0.0006933101,47,0.006684103,46,0.013964854,50,-0.01070315,45,0.0456282439,82,10029.463787,25.283758832,5.3759888618,5.6840320224,5.2422523614,26.91848018,23.254972451,34.7,28.5,6.3,35.7,29.1,64.581734459,13.710013835,12.91791375,81.302109436,79.523075591,6623,43.698865136,1093,3.8506253303,20.9,13.036170213
47065,Tennessee,Hamilton,-0.711352126,18,-0.783627183,8,-0.516494949,10,-0.194857178,26,-0.236082183,7,-0.210654927,6,-0.306693686,13,-0.030196387,19,8534.3738957,19.538674536,4.7030950878,5.2714432176,4.8784355643,20.462121814,17.371975968,31.2,28.3,7.2,24.1,21.5,89.438065998,16.618153135,15.935091276,89.479820698,88.9071403,66094,68.360138594,6009,3.2410653607,18.8,14.987234043
47067,Tennessee,Hancock,1.9739880363,95,0.9746429369,93,1.5,95,0.4739880363,85,0.1736859875,88,0.1576065565,86,0.6637901069,94,-0.020439714,29,16508.902701,27.72212894,5.9466752413,6.2255145968,5.7249109833,30.755678879,26.721321643,28.6,17.8,7.1,23.1,13.7,7.200469277,15.846036698,14.709747441,77.145266709,72.878608007,547,36.515353805,125,5.8685446009,35.8,22.09787234
47069,Tennessee,Hardeman,0.739637229,79,0.5019157704,82,-0.153406285,33,0.8930435141,94,0.1868435286,90,0.0082529909,48,0.3050601496,86,0.0017591013,49,9793.945713,30.20952613,5.9366338786,5.7526065604,5.4030322286,29.787356363,26.934158636,35.3,27.6,5.9,32.9,25.3,30.939713059,13.745680075,12.991663678,79.64436639,77.299261756,2066,29.885722552,477,4.9812030075,24.1,14.091489362
47071,Tennessee,Hardin,0.9400449454,85,0.2262970096,69,0.6978959451,89,0.2421490003,70,0.1099962404,80,0.0116505357,49,0.1340635682,70,-0.029413335,20,12747.153579,24.776373277,5.4314978333,5.7448229687,5.2812638943,28.575873867,24.859213931,34.7,28.0,7.2,36.9,30.0,48.413125336,15.594571566,14.54176118,81.530172414,79.015591402,2789,50.261308344,448,4.2723631509,26.0,16.34893617
