Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,URL,Provider,Category,Status,Direction URL,geometry
87087,Applebee's Alcoa Hwy,35.815589,-83.980742,"2564 Alcoa Highway, Alcoa, TN, 37701",2564 Alcoa Highway,Alcoa,TN,37701,Blount,https://restaurants.applebees.com/en-us/tn/alcoa/2564-alcoa-highway-87087,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2564+Alcoa+Highway,+Alcoa,+TN,+37701,+USA/",POINT (-83.980742 35.815589)
85099,Applebee's Oak Ridge,36.016015,-84.250531,"1213 Oak Ridge Turnpike, Oak Ridge, TN, 37830",1213 Oak Ridge Turnpike,Oak Ridge,TN,37830,Anderson,https://restaurants.applebees.com/en-us/tn/oakridge/1213-oak-ridge-turnpike-85099,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1213+Oak+Ridge+Turnpike,+Oak+Ridge,+TN,+37830,+USA/",POINT (-84.250531 36.016015)
77054,Applebee's Hacks Cross Rd,35.043733,-89.795943,"3895 Hacks Cross Road, Memphis, TN, 38125",3895 Hacks Cross Road,Memphis,TN,38125,Shelby,https://restaurants.applebees.com/en-us/tn/memphis/3895-hacks-cross-road-77054,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3895+Hacks+Cross+Road,+Memphis,+TN,+38125,+USA/",POINT (-89.795943 35.043733)
82002,Applebee's Bartlett Road,35.2043,-89.8635,"2890 Bartlett Blvd, Memphis, TN, 38134",2890 Bartlett Blvd,Memphis,TN,38134,Shelby,https://restaurants.applebees.com/en-us/tn/bartlett/2890-bartlett-blvd.-82002,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2890+Bartlett+Blvd,+Memphis,+TN,+38134,+USA/",POINT (-89.8635 35.2043)
89074,Applebee's East Towne Mall,36.031439,-83.875926,"2912 Knoxville Center Drive, Knoxville, TN, 37924",2912 Knoxville Center Drive,Knoxville,TN,37924,Knox,https://restaurants.applebees.com/en-us/tn/knoxville/2912-knoxville-center-drive-89074,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2912+Knoxville+Center+Drive,+Knoxville,+TN,+37924,+USA/",POINT (-83.875926 36.031439)
8134,Arbys Knoxville,36.0751323,-83.9274344,"7000 Maynardville Pike, Knoxville, TN, 37918",7000 Maynardville Pike,Knoxville,TN,37918,Knox,https://locations.arbys.com/tn/knoxville/7000-maynardville-pike.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7000+Maynardville+Pike,+Knoxville,+TN,+37918,+USA/",POINT (-83.9274344 36.0751323)
121,Arbys Franklin,35.9154501,-86.8340057,"1130 Murfreesboro Rd, Franklin, TN, 37064",1130 Murfreesboro Rd,Franklin,TN,37064,Williamson,https://locations.arbys.com/tn/franklin/1130-murfreesboro-rd.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1130+Murfreesboro+Rd,+Franklin,+TN,+37064,+USA/",POINT (-86.8340057 35.9154501)
5506,Arbys Goodlettsville,36.32392,-86.7015517,"912 Conference Drive, Goodlettsville, TN, 37072",912 Conference Drive,Goodlettsville,TN,37072,Davidson,https://locations.arbys.com/tn/goodlettsville/912-conference-drive.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/912+Conference+Drive,+Goodlettsville,+TN,+37072,+USA/",POINT (-86.7015517 36.32392)
1497,Arbys Knoxville,35.9881996,-83.8930885,"2657 Magnolia Ave, Knoxville, TN, 37914",2657 Magnolia Ave,Knoxville,TN,37914,Knox,https://locations.arbys.com/tn/knoxville/2657-magnolia-ave.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2657+Magnolia+Ave,+Knoxville,+TN,+37914,+USA/",POINT (-83.8930885 35.9881996)
8435,Arbys White House,36.4696898,-86.6786173,"301 White House Crossing Way Suite A, White House, TN, 37188",301 White House Crossing Way Suite A,White House,TN,37188,Robertson,https://locations.arbys.com/tn/whitehouse/301-white-house-crossing-way-suite-a.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/301+White+House+Crossing+Way+Suite+A,+White+House,+TN,+37188,+USA/",POINT (-86.6786173 36.4696898)
8288,Arbys Powell,36.051314,-83.9910216,"608 East Emory Rd, Powell, TN, 37849",608 East Emory Rd,Powell,TN,37849,Knox,https://locations.arbys.com/tn/powell/608-east-emory-rd..html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/608+East+Emory+Rd,+Powell,+TN,+37849,+USA/",POINT (-83.9910216 36.051314)
1766,Arbys Johnson City,36.3062177,-82.3404629,"1909 S Roan St, Johnson City, TN, 37601",1909 S Roan St,Johnson City,TN,37601,Washington,https://locations.arbys.com/tn/johnsoncity/1909-s-roan-st.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1909+S+Roan+St,+Johnson+City,+TN,+37601,+USA/",POINT (-82.3404629 36.3062177)
1129,Arbys Cleveland,35.1869184,-84.8712683,"2835 Keith St Nw, Cleveland, TN, 37311",2835 Keith St Nw,Cleveland,TN,37311,Bradley,https://locations.arbys.com/tn/cleveland/2835-keith-st-nw.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2835+Keith+St+Nw,+Cleveland,+TN,+37311,+USA/",POINT (-84.8712683 35.1869184)
1963,Arbys Bristol,36.5618719,-82.2085961,"1315 Volunteer Pkwy, Bristol, TN, 37620",1315 Volunteer Pkwy,Bristol,TN,37620,Sullivan,https://locations.arbys.com/tn/bristol/1315-volunteer-pkwy.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1315+Volunteer+Pkwy,+Bristol,+TN,+37620,+USA/",POINT (-82.2085961 36.5618719)
7979,Arbys Murfreesboro,35.8078671,-86.3967846,"2441 South Church St, Murfreesboro, TN, 37127",2441 South Church St,Murfreesboro,TN,37127,Rutherford,https://locations.arbys.com/tn/murfreesboro/2441-south-church-st.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/2441+South+Church+St,+Murfreesboro,+TN,+37127,+USA/",POINT (-86.3967846 35.8078671)
7472,Arbys Murfreesboro,35.8460165,-86.430546,"121 Chaffin Pl, Murfreesboro, TN, 37129",121 Chaffin Pl,Murfreesboro,TN,37129,Rutherford,https://locations.arbys.com/tn/murfreesboro/121-chaffin-pl.html,Arbys,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/121+Chaffin+Pl,+Murfreesboro,+TN,+37129,+USA/",POINT (-86.430546 35.8460165)
