Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density, Adults with Obesity
179833,Waffle House #2213,35.20559,-89.736781,"9780 Us Highway 64, Arlington, TN, 38002",9780 Us Highway 64,Arlington,TN,38002,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179646,Waffle House #708,36.16479298,-84.08611736,"2225 N Charles G, Clinton, TN, 37716",2225 N Charles G,Clinton,TN,37716,Anderson,Waffle House,Food Chains,77576.0,0.0009023409301845932,33.5
179845,Waffle House #848,36.168494,-86.514925,"326 S Mt Juliet Rd, Mount Juliet, TN, 37122",326 S Mt Juliet Rd,Mount Juliet,TN,37122,Wilson,Waffle House,Food Chains,151917.0,0.0008754780570969674,33.7
179576,Waffle House #511,36.151022,-86.857175,"408 White Bridge Pl, Nashville, TN, 37209",408 White Bridge Pl,Nashville,TN,37209,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179491,Waffle House #1913,35.983129,-86.55614,"315 Wolverine Trl, Smyrna, TN, 37167",315 Wolverine Trl,Smyrna,TN,37167,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
178138,Waffle House #1164,36.580126,-87.40958,"1683 A Fort Campbell, Clarksville, TN, 37042",1683 A Fort Campbell,Clarksville,TN,37042,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619,36.2
178139,Waffle House #1678,36.637992,-87.435792,"3323 Ft Campbell, Clarksville, TN, 37042",3323 Ft Campbell,Clarksville,TN,37042,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619,36.2
179579,Waffle House #706,36.235758,-86.758352,"3304 Dickerson Rd, Nashville, TN, 37207",3304 Dickerson Rd,Nashville,TN,37207,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178986,Waffle House #1393,36.189702,-86.410292,"380 Hwy 109 N, Lebanon, TN, 37090",380 Hwy 109 N,Lebanon,TN,37090,Wilson,Waffle House,Food Chains,151917.0,0.0008754780570969674,33.7
179847,Waffle House #2326,35.785879,-86.366404,"1622 Joe B Jackson, Murfreesboro, TN, 37127",1622 Joe B Jackson,Murfreesboro,TN,37127,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
179475,Waffle House #1931,36.494458,-86.877222,"2100 Memorial Drive, Springfield, TN, 37172",2100 Memorial Drive,Springfield,TN,37172,Robertson,Waffle House,Food Chains,74098.0,0.0008097384544792032,38.1
179841,Waffle House #317,35.167757,-89.863046,"1550 Sycamore View, Memphis, TN, 38134",1550 Sycamore View,Memphis,TN,38134,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179578,Waffle House #584,36.153582,-86.686115,"2340 Elm Hill Pike, Nashville, TN, 37214",2340 Elm Hill Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179574,Waffle House #473,36.0849,-86.7618,"4301 Sidco Dr, Nashville, TN, 37204",4301 Sidco Dr,Nashville,TN,37204,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178555,Waffle House #1051,35.84590852,-86.44147395,"2427 Old Fort Pkwy, Murfreesboro, TN, 37128",2427 Old Fort Pkwy,Murfreesboro,TN,37128,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
179465,Waffle House #713,35.054091,-85.18773,"6007 Shallowford Rd, Chattanooga, TN, 37411",6007 Shallowford Rd,Chattanooga,TN,37411,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
179817,Waffle House #246,36.17257256,-86.6018946,"5771 Old Hickory, Hermitage, TN, 37076",5771 Old Hickory,Hermitage,TN,37076,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179815,Waffle House #819,36.30734927,-86.65572332,"1090 West Main St, Hendersonville, TN, 37075",1090 West Main St,Hendersonville,TN,37075,Sumner,Waffle House,Food Chains,200557.0,0.0007080281416255728,27.2
178575,Waffle House #123,34.98939938,-85.20844722,"6513 Ringgold Road, Chattanooga, TN, 37412",6513 Ringgold Road,Chattanooga,TN,37412,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
179826,Waffle House #2108,36.0059,-84.0194,"103 Stekoia Lane, Knoxville, TN, 37912",103 Stekoia Lane,Knoxville,TN,37912,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
178232,Waffle House #1264,36.46895154,-86.67759359,"828 Hwy 76, White House, TN, 37188",828 Hwy 76,White House,TN,37188,Robertson,Waffle House,Food Chains,74098.0,0.0008097384544792032,38.1
246494,Waffle House #2404,35.972424,-87.129019,"7004 City Center Way, Fairview, TN, 37062",7004 City Center Way,Fairview,TN,37062,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544,22.5
178990,Waffle House #387,35.018188,-85.28068,"2024 E 23rd Street, Chattanooga, TN, 37405",2024 E 23rd Street,Chattanooga,TN,37405,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192,31.2
179466,Waffle House #240,35.190895,-84.885188,"2680 Georgetown Rd, Cleveland, TN, 37311",2680 Georgetown Rd,Cleveland,TN,37311,Bradley,Waffle House,Food Chains,110162.0,0.0009168315753163523,37.2
179577,Waffle House #561,36.08065529,-86.95460557,"7676 Hwy 70 S, Nashville, TN, 37221",7676 Hwy 70 S,Nashville,TN,37221,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
178572,Waffle House #1205,35.115196,-89.8026,"1249 S Germantown Rd, Germantown, TN, 38138",1249 S Germantown Rd,Germantown,TN,38138,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967,34.9
179831,Waffle House #894,35.92306234,-84.09343933,"411 Cedar Bluff Road, Knoxville, TN, 37923",411 Cedar Bluff Road,Knoxville,TN,37923,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
179583,Waffle House #940,36.045417,-86.71137,"14991 Old Hickory, Nashville, TN, 37211",14991 Old Hickory,Nashville,TN,37211,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179566,Waffle House #2113,35.7779,-83.5453,"3949 Parkway, Pigeon Forge, TN, 37863",3949 Parkway,Pigeon Forge,TN,37863,Sevier,Waffle House,Food Chains,99517.0,0.0014871830943456897,44.0
179647,Waffle House #963,35.596461,-87.057585,"811 S James Campbell, Columbia, TN, 38401",811 S James Campbell,Columbia,TN,38401,Maury,Waffle House,Food Chains,104760.0,0.0005536464299350897,31.9
179816,Waffle House #2165,36.2,-86.6195,"4120 Lebanon Pike, Hermitage, TN, 37076",4120 Lebanon Pike,Hermitage,TN,37076,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179568,Waffle House #723,36.047286,-84.003139,"309 E Emory Rd, Powell, TN, 37849",309 E Emory Rd,Powell,TN,37849,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
179477,Waffle House #2363,35.739722,-86.894112,"3815 Old Port Royal, Spring Hill, TN, 37174",3815 Old Port Royal,Spring Hill,TN,37174,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544,22.5
305484,Waffle House #2439,35.813795,-86.442161,"2383 New Salem Rd, Murfreesboro, TN, 37128",2383 New Salem Rd,Murfreesboro,TN,37128,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654,33.3
034359,Taco Bell Murfreesboro,35.86309497,-86.40949886,"1301 Nw Broad St, Murfreesboro, TN, 37129",1301 Nw Broad St,Murfreesboro,TN,37129,Rutherford,Taco Bell,Food Chains,352182.0,0.0008319562044624654,33.3
8119,Smyrna-Nissan Bl,35.9748,-86.491961,"775 Nissan Dr, Smyrna, TN, 37167",775 Nissan Dr,Smyrna,TN,37167,Rutherford,McDonalds,Food Chains,352182.0,0.0008319562044624654,33.3
10818,Columbia/Bear,35.635171,-87.016889,"110 Bear Creek Pike, Columbia, TN, 38401",110 Bear Creek Pike,Columbia,TN,38401,Maury,McDonalds,Food Chains,104760.0,0.0005536464299350897,31.9
